This file was created using the 202512 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth,Other
194902,  -2.55,  -3.19,  -2.22,  -0.93,  -3.19
194903,   3.60,   4.39,   3.51,   5.50,   4.92
194904,  -2.39,  -1.36,  -2.67,   0.24,  -1.53
194905,  -0.97,  -3.73,  -3.70,  -1.90,  -2.71
194906,   1.64,  -0.40,   0.64,   2.17,  -1.37
194907,   6.24,   5.84,   4.48,   6.01,   4.19
194908,   2.79,   3.44,   0.87,   0.18,   1.44
194909,   2.63,   3.66,   2.35,   1.86,   3.41
194910,   2.91,   3.68,   2.77,   3.38,   2.42
194911,   2.81,   1.29,   2.74,   4.80,   1.22
194912,   5.96,   4.35,   5.28,   8.72,   7.14
195001,   1.26,   1.47,   3.21,   1.06,   3.20
195002,   1.91,   1.29,   2.06,   1.92,   1.01
195003,   0.28,   1.92,   3.47,  -2.92,  -0.71
195004,   3.22,   5.21,   3.58,   5.52,   1.51
195005,   3.84,   6.18,   1.07,   3.97,   1.36
195006,  -4.82,  -6.10,  -6.22,  -4.20,  -6.84
195007,  -1.01,   2.81,  -2.09,  -6.96,   7.50
195008,   5.83,   5.26,   3.84,   3.68,   2.33
195009,   7.19,   4.22,   2.17,   6.16,   6.52
195010,   0.29,   0.22,  -0.63,  -1.77,  -1.52
195011,  -0.71,   4.66,   1.18,   4.67,   3.93
195012,   2.38,   6.86,   2.90,   6.10,  11.12
195101,   5.87,   6.03,   4.81,   3.10,   6.37
195102,   2.17,   1.41,   2.46,   1.45,  -0.42
195103,  -1.25,  -2.60,  -1.00,   1.70,  -2.86
195104,   1.66,   7.12,   2.03,  10.41,   3.75
195105,  -2.75,  -2.15,  -1.62,   1.57,  -3.26
195106,  -4.47,  -1.78,  -0.92,   0.83,  -5.12
195107,   3.04,   8.92,   4.20,  14.48,   7.40
195108,   4.44,   4.78,   4.27,  -1.43,   3.45
195109,   1.67,   0.05,   1.64,  -1.83,   3.58
195110,  -2.75,  -1.67,  -3.79,  -5.98,  -3.62
195111,   1.10,   0.21,   1.51,  -0.48,   2.12
195112,   1.50,   4.42,   2.91,   5.15,   2.13
195201,  -0.34,   2.56,  -0.76,   0.65,   3.33
195202,  -1.64,  -3.02,  -1.99,  -4.25,  -1.58
195203,   4.29,   4.89,   3.25,   0.44,   5.84
195204,  -2.82,  -6.27,  -2.09,  -5.50,  -3.39
195205,   2.95,   3.80,   1.99,   2.52,   2.95
195206,   3.79,   4.22,   4.02,  -0.96,   4.03
195207,   1.66,   1.03,   0.82,  -4.40,   1.14
195208,   1.02,  -1.47,   0.34,  -0.57,  -0.14
195209,  -1.53,  -2.47,   0.34,  -4.12,  -1.37
195210,  -0.15,  -0.57,  -0.07,  -1.38,  -1.57
195211,   5.86,   5.82,   6.60,   7.24,   7.30
195212,   3.56,   3.19,   1.98,  -1.95,   3.74
195301,   0.81,  -0.53,  -0.69,  -5.12,   1.08
195302,   0.12,  -0.29,   0.06,   2.07,  -0.22
195303,  -2.46,  -0.97,  -0.61,  -0.16,  -1.45
195304,  -1.01,  -3.56,  -0.70,  -5.34,  -3.21
195305,   0.45,   0.68,   0.76,  -0.05,   1.43
195306,  -2.13,  -1.67,  -0.77,  -3.31,  -2.05
195307,   1.79,   3.19,   1.58,   3.66,   1.43
195308,  -4.29,  -4.58,  -2.53,   0.04,  -6.81
195309,  -0.17,   0.25,   2.51,   0.43,  -1.00
195310,   3.22,   5.59,   4.12,   2.65,   3.70
195311,   1.19,   3.26,   3.61,   8.03,   2.78
195312,  -0.33,   0.58,   0.61,  -1.35,  -2.31
195401,   4.34,   5.58,   4.30,   5.65,   6.65
195402,   0.64,   1.68,   3.79,  -0.18,   1.54
195403,   1.89,   4.31,   5.33,   0.29,   1.80
195404,   2.29,   5.03,   5.69,   1.20,   2.87
195405,   3.31,   3.66,   0.34,   1.61,   4.40
195406,   1.33,   0.09,   5.46,  -2.45,   1.50
195407,   7.14,   4.94,   1.72,   8.22,   6.82
195408,  -2.33,  -2.08,  -3.15,  -2.58,  -2.27
195409,   8.25,   6.77,   4.56,   2.81,   4.30
195410,  -1.70,  -1.88,  -1.45,  -1.63,   0.59
195411,   6.01,  10.51,   8.62,  12.61,  11.18
195412,   4.99,   6.01,   2.41,   6.15,   9.37
195501,   0.76,   0.31,   2.30,  -2.88,   0.89
195502,   0.40,   3.54,   4.23,   2.86,   3.78
195503,  -0.62,  -0.01,  -0.70,   6.11,   0.94
195504,   4.15,   2.88,   3.89,   0.01,   3.42
195505,   0.20,   1.40,   0.59,   3.17,   1.64
195506,   6.13,   8.77,   1.84,   0.17,   2.37
195507,   9.63,   0.76,  -0.27,   0.13,  -1.42
195508,  -1.85,   1.31,  -0.71,   0.16,   0.58
195509,   4.56,  -0.95,  -1.74,  -3.18,  -2.71
195510,  -3.20,  -2.10,  -3.26,   0.82,  -2.63
195511,   6.72,   7.48,   5.97,   6.29,   8.36
195512,  -1.79,   2.68,   2.99,   6.23,  -0.67
195601,  -4.65,  -2.37,  -1.96,  -6.50,  -2.76
195602,   3.60,   4.26,   3.36,   8.29,   3.38
195603,   2.36,   8.33,   6.30,   7.26,   5.71
195604,  -2.61,   1.43,  -0.33,   2.77,   0.89
195605,  -4.13,  -5.53,  -3.44,  -1.24,  -5.41
195606,   3.94,   3.67,   4.51,   3.60,   1.55
195607,   3.72,   5.93,   4.11,   3.10,   2.42
195608,  -0.60,  -3.69,  -2.60,  -3.08,  -3.55
195609,  -2.51,  -5.68,  -5.06,  -3.70,  -4.41
195610,  -0.10,   0.92,   1.14,   0.58,   1.10
195611,  -2.34,   1.32,   1.06,  -1.36,   0.21
195612,   0.77,   4.18,   3.61,   6.07,   1.99
195701,  -2.83,  -4.10,  -1.89,  -2.27,  -0.54
195702,  -1.52,  -2.22,  -0.20,  -0.35,  -2.56
195703,   1.19,   2.35,   3.27,   8.23,   2.31
195704,   4.20,   4.69,   4.78,   5.43,   3.16
195705,   1.47,   4.55,   3.73,   4.80,   1.36
195706,  -0.58,  -1.19,   2.12,   6.48,  -1.10
195707,   2.67,   0.58,   0.52,   2.60,   1.13
195708,  -2.70,  -5.55,  -4.14,  -2.97,  -5.47
195709,  -3.69,  -6.51,  -4.57,  -3.04,  -6.67
195710,  -3.39,  -4.47,  -1.92,  -0.68,  -6.87
195711,  -1.05,   3.21,   4.26,   8.63,   0.41
195712,  -3.79,  -4.24,  -1.28,  -0.48,  -4.43
195801,   6.40,   4.27,   4.13,  -0.41,  11.03
195802,   0.41,  -2.28,  -0.62,   4.95,  -1.78
195803,   3.65,   3.62,   1.97,   8.17,   2.51
195804,   3.99,   3.25,   1.13,   6.56,   4.52
195805,   3.81,   2.07,   1.77,   1.44,   3.74
195806,   2.51,   3.17,   2.75,   3.55,   2.89
195807,   5.17,   4.64,   2.48,   5.98,   5.22
195808,   2.30,   1.66,   2.22,   1.98,   3.06
195809,   6.66,   3.97,   5.71,  11.74,   4.27
195810,   2.10,   2.72,   3.18,   1.05,   3.75
195811,   3.47,   2.62,   3.41,   8.04,   4.63
195812,   3.44,   4.14,  13.25,   4.61,   3.09
195901,   1.63,   0.79,   0.35,  -0.62,   2.10
195902,   0.84,  -0.04,   5.03,   3.88,   1.76
195903,  -0.81,   0.74,   1.10,   4.25,  -0.74
195904,   5.22,   2.54,   6.81,  11.93,   1.95
195905,   3.30,   1.79,   2.40,  -1.07,   0.63
195906,   1.17,  -0.38,  -1.03,   6.60,   1.23
195907,   5.22,   4.06,   0.51,   4.74,   0.46
195908,   1.10,  -1.68,  -1.20,  -3.57,  -2.23
195909,  -3.48,  -5.36,  -2.81,  -4.95,  -4.11
195910,   0.93,   1.26,   3.38,   2.34,   0.30
195911,   0.97,   1.22,   4.77,   5.62,  -0.50
195912,   3.21,   2.67,   3.79,  -1.68,   2.07
